# Slice: BestEffort | 10.215.173.1: -> 112.217.128.197: (TCP)
# offset_sec  packet_size_bytes
0.000 1133
1.000 80
3.000 80
5.000 80
7.000 80
9.000 80
11.000 80
13.000 80
15.000 80
17.000 80
19.000 80
21.000 80
23.000 80
25.000 80
27.000 80
29.000 80
31.000 80
33.000 80
35.000 80
37.000 80
39.000 80
41.000 80
43.000 80
45.000 80
47.000 80
49.000 80
51.000 80
53.000 80
55.000 80
57.000 80
59.000 80
61.000 80
63.000 80
65.000 80
67.000 80
69.000 80
71.000 80
73.000 80
75.000 80
77.000 80
79.000 80
81.000 80
83.000 80
85.000 80
87.000 80
89.000 80
91.000 80
93.000 80
95.000 80
97.000 80
99.000 80
101.000 80
103.000 80
105.000 80
107.000 80
109.000 80
111.000 80
113.000 80
115.000 80
117.000 80
119.000 80
121.000 80
123.000 80
125.000 80
127.000 80
129.000 80
131.000 80
133.000 80
135.000 80
137.000 80
139.000 80
141.000 80
143.000 80
145.000 80
147.000 80
149.000 80
151.000 80
153.000 80
155.000 80
157.000 80
159.000 80
161.000 80
163.000 80
165.000 80
167.000 80
169.000 80
171.000 80
173.000 80
175.000 80
177.000 80
179.000 80
181.000 80
183.000 80
185.000 80
187.000 80
189.000 80
191.000 80
193.000 80
195.000 80
197.000 80
199.000 80
201.000 80
203.000 80
205.000 80
207.000 80
209.000 80
211.000 80
213.000 80
215.000 80
217.000 80
219.000 80
221.000 80
223.000 80
225.000 80
227.000 80
229.000 80
231.000 80
233.000 80
235.000 80
237.000 80
239.000 80
241.000 80
243.000 80
245.000 80
247.000 80
249.000 80
251.000 80
253.000 80
255.000 80
257.000 80
259.000 80
261.000 80
263.000 80
265.000 80
267.000 80
269.000 80
271.000 80
273.000 80
275.000 80
277.000 80
279.000 80
281.000 80
283.000 80
285.000 80
287.000 80
289.000 80
291.000 80
293.000 80
295.000 80
297.000 80
299.000 80
301.000 80
303.000 80
305.000 80
307.000 80
309.000 80
311.000 80
313.000 80
315.000 80
317.000 80
319.000 80
321.000 80
323.000 80
325.000 80
327.000 80
329.000 80
331.000 80
333.000 80
335.000 80
337.000 80
339.000 80
341.000 80
343.000 80
345.000 80
347.000 80
349.000 80
351.000 80
353.000 80
355.000 80
357.000 80
359.000 80
361.000 80
363.000 80
365.000 80
367.000 80
369.000 80
371.000 80
373.000 80
375.000 80
377.000 80
379.000 80
381.000 80
383.000 80
385.000 80
387.000 80
389.000 80
391.000 80
393.000 80
395.000 80
397.000 80
399.000 80
401.000 80
403.000 80
405.000 80
407.000 80
409.000 80
411.000 80
413.000 80
415.000 80
417.000 80
419.000 80
421.000 80
423.000 80
425.000 80
427.000 80
429.000 80
431.000 80
433.000 80
435.000 80
437.000 80
439.000 80
441.000 80
443.000 80
445.000 80
447.000 80
449.000 80
451.000 80
453.000 80
455.000 80
457.000 80
459.000 80
461.000 80
463.000 80
465.000 80
467.000 80
469.000 80
471.000 80
473.000 80
475.000 80
477.000 80
479.000 80
481.000 80
483.000 80
485.000 80
487.000 80
489.000 80
491.000 80
493.000 80
495.000 80
497.000 80
499.000 80
501.000 80
503.000 80
505.000 80
507.000 80
509.000 80
511.000 80
513.000 80
515.000 80
517.000 80
519.000 80
521.000 80
523.000 80
525.000 80
527.000 80
529.000 80
531.000 80
533.000 80
535.000 80
537.000 80
539.000 80
541.000 80
543.000 80
545.000 80
547.000 80
549.000 80
551.000 80
553.000 80
555.000 80
557.000 80
559.000 80
561.000 80
563.000 80
565.000 80
567.000 80
569.000 80
571.000 80
573.000 80
575.000 80
577.000 80
579.000 80
581.000 80
583.000 80
585.000 80
587.000 80
589.000 80
591.000 80
593.000 80
595.000 80
597.000 80
599.000 80
601.000 80
603.000 80
605.000 80
607.000 80
609.000 80
611.000 80
613.000 80
615.000 80
617.000 80
619.000 80
621.000 80
623.000 80
625.000 80
627.000 80
629.000 80
631.000 80
633.000 80
635.000 80
637.000 80
639.000 80
641.000 80
643.000 80
645.000 80
647.000 80
649.000 80
651.000 80
653.000 80
655.000 80
657.000 80
659.000 80
661.000 80
663.000 80
665.000 80
667.000 80
669.000 80
671.000 80
673.000 80
675.000 80
677.000 80
679.000 80
681.000 80
683.000 80
685.000 80
687.000 80
689.000 80
691.000 80
693.000 80
695.000 80
697.000 80
699.000 80
701.000 80
703.000 80
705.000 80
707.000 80
709.000 80
711.000 80
713.000 80
715.000 80
717.000 80
719.000 80
721.000 80
723.000 80
725.000 80
727.000 80
729.000 80
731.000 80
733.000 80
735.000 80
737.000 80
739.000 80
741.000 80
743.000 80
745.000 80
747.000 80
749.000 80
751.000 80
753.000 80
755.000 80
757.000 80
759.000 80
761.000 80
763.000 80
765.000 80
767.000 80
769.000 80
771.000 80
773.000 80
775.000 80
777.000 80
779.000 80
781.000 80
783.000 80
785.000 80
787.000 80
789.000 80
791.000 80
793.000 80
795.000 80
797.000 80
799.000 80
801.000 80
803.000 80
805.000 80
807.000 80
809.000 80
811.000 80
813.000 80
815.000 80
817.000 80
819.000 80
821.000 80
823.000 80
825.000 80
827.000 80
829.000 80
831.000 80
833.000 80
835.000 80
837.000 80
839.000 80
841.000 80
843.000 80
845.000 80
847.000 80
849.000 80
851.000 80
853.000 80
855.000 80
857.000 80
859.000 80
861.000 80
863.000 80
865.000 80
867.000 80
869.000 80
871.000 80
873.000 80
875.000 80
877.000 80
879.000 80
881.000 80
883.000 80
885.000 80
887.000 80
889.000 80
891.000 80
893.000 80
895.000 80
897.000 80
899.000 80
901.000 80
903.000 80
905.000 80
907.000 80
909.000 80
911.000 80
913.000 80
915.000 80
917.000 80
919.000 80
921.000 80
923.000 80
925.000 80
927.000 80
929.000 80
931.000 80
933.000 80
935.000 80
937.000 80
939.000 80
941.000 80
943.000 80
945.000 80
947.000 80
949.000 80
951.000 80
953.000 80
955.000 80
957.000 80
959.000 80
961.000 80
963.000 80
965.000 80
967.000 80
969.000 80
971.000 80
973.000 80
975.000 80
977.000 80
979.000 80
981.000 80
983.000 80
985.000 80
987.000 80
989.000 80
991.000 80
993.000 80
995.000 80
997.000 80
999.000 80
1001.000 80
1003.000 80
1005.000 80
1007.000 80
1009.000 80
1011.000 80
1013.000 80
1015.000 80
1017.000 80
1019.000 80
1021.000 80
1023.000 80
1025.000 80
1027.000 80
1029.000 80
1031.000 80
1033.000 80
1035.000 80
1037.000 80
1039.000 80
1041.000 80
1043.000 80
1045.000 80
1047.000 80
1049.000 80
1051.000 80
1053.000 80
1055.000 80
1057.000 80
1059.000 80
1061.000 80
1063.000 80
1065.000 80
1067.000 80
1069.000 80
1071.000 80
1073.000 80
1075.000 80
1077.000 80
1079.000 80
1081.000 80
1083.000 80
1085.000 80
1087.000 80
1089.000 80
1091.000 80
1093.000 80
1095.000 80
1097.000 80
1099.000 80
1101.000 80
1103.000 80
1105.000 80
1107.000 80
1109.000 80
1111.000 80
1113.000 80
1115.000 80
1117.000 80
1119.000 80
1121.000 80
1123.000 80
1125.000 80
1127.000 80
1129.000 80
1131.000 80
1133.000 80
1135.000 80
1137.000 80
1139.000 80
1141.000 80
1143.000 80
