# Slice: BestEffort | 112.217.128.202: -> 10.215.173.1: (RTCP)
# offset_sec  packet_size_bytes
0.000 64
149.000 64
179.000 64
222.000 64
290.000 64
620.000 64
868.000 64
930.000 64
942.000 64
1003.000 64
1067.000 64
1093.000 64
1405.000 64
1431.000 64
1551.000 64
1595.000 64
1689.000 64
1720.000 64
1920.000 64
1936.000 64
1975.000 64
2147.000 64
2208.000 64
2239.000 64
2299.000 64
2369.000 64
2404.000 64
2469.000 64
2540.000 64
2543.000 64
2642.000 64
2886.000 64
3068.000 64
3099.000 64
3190.000 64
3487.000 64
