# Slice: BestEffort | 10.215.173.1: -> 112.217.128.197: (RTCP)
# offset_sec  packet_size_bytes
0.000 64
10.000 64
14.000 64
245.000 64
313.000 64
327.000 64
437.000 64
567.000 64
645.000 64
649.000 64
747.000 64
862.000 64
874.000 64
952.000 64
983.000 64
1051.000 64
1059.000 64
1109.000 64
1186.000 64
1191.000 64
1226.000 64
1368.000 64
1426.000 64
1434.000 64
1475.000 64
1515.000 64
1580.000 64
1591.000 64
1639.000 64
1719.000 64
1733.000 64
1743.000 64
1771.000 64
1816.000 64
1833.000 64
1859.000 64
1874.000 64
1936.000 64
1988.000 64
2029.000 64
2168.000 64
2274.000 64
2290.000 64
2298.000 64
2301.000 64
2390.000 64
2412.000 64
2486.000 64
2627.000 64
2659.000 64
2688.000 64
3092.000 64
3095.000 64
3215.000 64
3243.000 64
3251.000 64
3273.000 64
3279.000 64
3344.000 64
3431.000 64
3592.000 64
3658.000 64
3818.000 64
3852.000 64
3889.000 64
3936.000 64
4017.000 64
4035.000 64
4048.000 64
4051.000 64
4102.000 64
4146.000 64
4200.000 64
4290.000 64
4412.000 64
4442.000 64
4478.000 64
4480.000 64
4564.000 64
4567.000 64
4587.000 64
4657.000 64
4696.000 64
4701.000 64
4766.000 64
4786.000 64
4939.000 64
4999.000 64
5089.000 64
5102.000 64
5135.000 64
5156.000 64
5367.000 64
5441.000 64
5491.000 64
5616.000 64
5671.000 64
5730.000 64
5733.000 64
5752.000 64
5753.000 64
5884.000 64
5893.000 64
5910.000 64
5922.000 64
6003.000 64
6048.000 64
6057.000 64
6144.000 64
6187.000 64
6221.000 64
6245.000 64
6300.000 64
6354.000 64
6535.000 64
6572.000 64
6576.000 64
6648.000 64
6674.000 64
6686.000 64
6707.000 64
6710.000 64
6756.000 64
6868.000 64
151908.000 64
151928.000 64
151950.000 64
152033.000 64
152128.000 64
152198.000 64
152234.000 64
152415.000 64
152465.000 64
152476.000 64
152489.000 64
152586.000 64
152640.000 64
152647.000 64
152675.000 64
152709.000 64
152718.000 64
152789.000 64
152832.000 64
152855.000 64
152884.000 64
152892.000 64
153076.000 64
153087.000 64
153135.000 64
153148.000 64
153193.000 64
153228.000 64
153243.000 64
153284.000 64
153344.000 64
153397.000 64
153404.000 64
153464.000 64
153597.000 64
153604.000 64
153613.000 64
153718.000 64
153759.000 64
153877.000 64
153947.000 64
153955.000 64
153961.000 64
153975.000 64
154038.000 64
154063.000 64
154137.000 64
154153.000 64
154324.000 64
154407.000 64
154413.000 64
