# Slice: BestEffort | 10.215.173.1: -> 112.217.128.202: (TCP)
# offset_sec  packet_size_bytes
0.000 1471
1.000 831
2.000 831
3.000 831
4.000 831
5.000 830
6.000 831
7.000 831
9.000 831
10.000 831
11.000 831
12.000 831
13.000 831
14.000 830
15.000 831
16.000 831
18.000 831
19.000 831
20.000 831
21.000 831
22.000 830
23.000 831
24.000 831
25.000 831
26.000 831
27.000 831
29.000 831
30.000 831
31.000 831
32.000 831
33.000 831
34.000 831
35.000 831
36.000 831
37.000 831
39.000 831
40.000 831
41.000 831
42.000 831
43.000 831
44.000 831
45.000 831
46.000 831
47.000 831
49.000 831
50.000 831
51.000 831
52.000 830
53.000 831
54.000 831
55.000 831
56.000 831
57.000 831
58.000 831
60.000 831
61.000 831
62.000 831
63.000 831
64.000 831
65.000 831
66.000 830
68.000 831
69.000 831
70.000 831
71.000 831
72.000 830
73.000 830
74.000 831
76.000 831
77.000 831
78.000 831
79.000 831
80.000 831
81.000 831
82.000 831
83.000 831
85.000 831
86.000 831
87.000 831
88.000 831
89.000 831
90.000 831
91.000 831
93.000 831
94.000 831
95.000 830
96.000 830
97.000 831
98.000 831
99.000 831
100.000 831
101.000 831
103.000 831
104.000 831
105.000 831
106.000 831
107.000 831
108.000 831
109.000 831
110.000 831
111.000 831
112.000 831
113.000 831
115.000 830
116.000 831
117.000 831
118.000 831
119.000 831
120.000 831
121.000 831
122.000 831
124.000 831
125.000 831
126.000 831
127.000 831
128.000 831
129.000 831
130.000 830
131.000 831
132.000 831
134.000 831
135.000 831
136.000 831
137.000 831
138.000 831
139.000 831
140.000 831
142.000 831
143.000 831
144.000 831
145.000 830
146.000 831
147.000 831
148.000 831
149.000 831
151.000 831
152.000 831
153.000 831
154.000 830
155.000 831
156.000 831
157.000 831
158.000 831
159.000 831
161.000 831
162.000 830
163.000 831
164.000 831
165.000 831
166.000 831
167.000 831
168.000 831
169.000 831
171.000 831
172.000 831
173.000 831
174.000 831
175.000 830
176.000 831
177.000 831
178.000 831
179.000 831
181.000 830
182.000 831
183.000 831
184.000 831
185.000 831
186.000 830
187.000 831
188.000 831
190.000 831
191.000 831
192.000 831
193.000 831
194.000 831
195.000 831
196.000 830
197.000 831
199.000 831
200.000 831
201.000 831
202.000 831
203.000 831
204.000 831
205.000 831
206.000 831
208.000 831
209.000 831
210.000 831
211.000 830
212.000 831
213.000 831
214.000 831
215.000 831
216.000 830
218.000 831
219.000 829
220.000 831
221.000 831
222.000 831
223.000 831
224.000 831
225.000 831
227.000 829
228.000 830
229.000 831
